Name,Draft Pick,AGE
Zaccharie Risacher,1,19
Alexandre Sarr,2,19
Reed Sheppard,3,20
Stephon Castle,4,19
Ron Holland,5,19
Tidjane Salaun,6,18
Donovan Clingan,7,20
Rob Dillingham,8,19
Zach Edey,9,22
Cody Williams,10,19
Matas Buzelis,11,19
Nikola Topi?,12,18
Devin Carter,13,22
Bub Carrington,14,18
Kel'el Ware,15,20
Jared McCain,16,20
Dalton Knecht,17,23
Tristan da Silva,18,23
Ja'Kobe Walter,19,19
Jaylon Tyson,20,21
Yves Missi,21,20
DaRon Holmes II,22,21
AJ Johnson,23,19
Kyshawn George,24,20
Pacôme Dadiet,25,18
Dillon Jones,26,22
Terrence Shannon Jr.,27,23
Ryan Dunn,28,21
Isaiah Collier,29,19
Baylor Scheierman,30,23
Jonathan Mogbo,31,22
Kyle Filipowski,32,20
Tyler Smith,33,19
Tyler Kolek,34,23
Johnny Furphy,35,19
Juan Núñez,36,20
Bobi Klintman,37,21
Ajay Mitchell,38,22
Jaylen Wells,39,20
Oso Ighodaro,40,21
Adem Bona,41,21
KJ Simpson,42,21
Nikola ?uriši?,43,20
Pelle Larsson,44,23
Jamal Shead,45,21
Cam Christie,46,18
Antonio Reeves,47,23
Harrison Ingram,48,21
Tristen Newton,49,23
Enrique Freeman,50,23
Melvin Ajinça,51,20
Quinten Post,52,24
Cam Spencer,53,24
Anton Watson,54,23
Bronny James,55,19
Kevin McCullar Jr.,56,23
Ulrich Chomche,57,18
Ariel Hukporti,58,22
